"filename", "language", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"e:\BGGT XRM\BizzMaster\client\src\features\shared\SimpleTable.tsx", "TypeScript React", 48, 0, 0, 0, 9, 57
"e:\BGGT XRM\BizzMaster\client\src\features\stock\Stock.tsx", "TypeScript React", 82, 0, 0, 0, 19, 101
"e:\BGGT XRM\BizzMaster\client\src\features\stock\StockHistory.tsx", "TypeScript React", 79, 0, 0, 1, 17, 97
"e:\BGGT XRM\BizzMaster\client\src\features\stock\SubmitStock.tsx", "TypeScript React", 258, 0, 0, 23, 33, 314
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SalesForecast.tsx", "TypeScript React", 84, 0, 0, 0, 19, 103
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SalesForecastHistory.tsx", "TypeScript React", 79, 0, 0, 1, 17, 97
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SubmitSalesForecast.tsx", "TypeScript React", 241, 0, 0, 23, 28, 292
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplierDetails.tsx", "TypeScript React", 87, 0, 0, 0, 16, 103
"e:\BGGT XRM\BizzMaster\client\src\features\supply\Suppliers.tsx", "TypeScript React", 32, 0, 0, 0, 19, 51
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLineAudit.tsx", "TypeScript React", 153, 0, 0, 2, 39, 194
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLineDetails.tsx", "TypeScript React", 64, 0, 0, 0, 22, 86
"e:\BGGT XRM\BizzMaster\client\src\features\supply\SupplyLines.tsx", "TypeScript React", 32, 0, 0, 0, 18, 50
"e:\BGGT XRM\BizzMaster\client\src\features\system\Basics.tsx", "TypeScript React", 38, 0, 0, 0, 11, 49
"e:\BGGT XRM\BizzMaster\client\src\features\system\Brands.tsx", "TypeScript React", 18, 0, 0, 0, 11, 29
"e:\BGGT XRM\BizzMaster\client\src\features\system\Categories.tsx", "TypeScript React", 25, 0, 0, 0, 12, 37
"e:\BGGT XRM\BizzMaster\client\src\features\system\Countries.tsx", "TypeScript React", 20, 0, 0, 0, 11, 31
"e:\BGGT XRM\BizzMaster\client\src\features\system\MasterSystems.tsx", "TypeScript React", 17, 0, 0, 0, 10, 27
"e:\BGGT XRM\BizzMaster\client\src\features\system\Usagetypes.tsx", "TypeScript React", 17, 0, 0, 0, 10, 27
"e:\BGGT XRM\BizzMaster\client\src\features\system\basicsSlice.ts", "TypeScript", 0, 29, 0, 0, 16, 45
"e:\BGGT XRM\BizzMaster\client\src\index.tsx", "TypeScript React", 20, 0, 0, 3, 6, 29
"e:\BGGT XRM\BizzMaster\client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"e:\BGGT XRM\BizzMaster\client\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"e:\BGGT XRM\BizzMaster\client\src\test\App.test.tsx", "TypeScript React", 8, 0, 0, 0, 2, 10
"e:\BGGT XRM\BizzMaster\client\src\test\setupTests.ts", "TypeScript", 0, 1, 0, 4, 1, 6
"Total", "-", 4155, 514, 0, 224, 963, 5856
